fips,unemp
35006,8.5
35007,3.5
35009,7.7
35011,11.7
35013,6.9
35015,4.3
35017,8.4
35019,4.7
35021,12.9
35023,4.1
35025,7.0
35027,5.7
35028,2.2
35029,5.5
35031,9.4
35033,5.5
35035,9.1
35037,4.5
35039,5.1
35041,5.8
35043,5.4
35045,7.8
35047,5.3
35049,5.4
35051,3.6
35053,2.4
35055,5.0
35057,11.6
35059,6.6
35061,6.9
36001,5.2
36003,7.2
36005,11.1
36007,6.7
36009,5.2
36011,3.9
36013,5.5
36015,6.3
36017,6.9
36019,4.0
36021,5.3
36023,5.7
36025,6.4
36027,4.8
36029,4.8
36031,5.0
36033,4.7
36035,3.8
36037,4.2
36039,3.3
36041,5.4
36043,4.4
36045,6.4
36047,7.5
36049,5.4
36051,4.5
36053,4.1
36055,5.1
36057,4.7
36059,4.8
36061,7.0
36063,6.0
36065,4.7
36067,5.1
36069,4.0
36071,5.4
36073,5.8
36075,6.9
36077,5.3
36079,4.1
36081,7.0
36083,5.6
36085,5.5
36087,5.9
36089,5.7
36091,3.1
36093,5.8
36095,5.4
36097,6.3
36099,4.7
36101,5.8
36103,4.6
36105,6.1
36107,5.3
36109,5.3
36111,5.1
36113,3.8
36115,5.4
36117,3.5
36119,6.0
36121,3.8
36123,2.9
37001,4.9
37003,5.2
37005,5.4
37007,6.9
37009,5.4
37011,4.8
37013,5.4
37015,8.4
37017,4.3
37019,5.2
37021,3.5
37023,4.8
37025,4.5
37027,4.8
37029,4.9
37031,4.3
37033,5.7
37035,4.2
37037,3.0
37039,5.4
37041,5.9
37043,4.2
37045,5.7
37047,4.7
37049,4.5
37051,7.7
37053,2.9
37055,5.9
37057,4.0
37059,4.5
37061,4.7
37063,4.2
37065,8.0
37067,5.3
37069,5.5
37071,4.8
37073,9.0
37075,6.4
37077,4.4
37079,5.6
37081,4.7
37083,8.7
37085,5.0
37087,3.4
37089,3.3
37091,5.2
37093,7.4
37095,3.0
37097,4.4
37099,6.4
37101,3.9
37103,4.1
37105,4.0
37107,7.2
37109,3.6
37111,4.7
37113,2.9
37115,2.6
37117,7.0
37119,4.2
37121,6.5
37123,2.9
37125,4.6
37127,6.2
37129,4.7
37131,6.5
37133,5.8
37135,3.6
37137,4.5
37139,6.6
37141,6.0
37143,5.0
37145,3.9
37147,7.6
37149,4.3
37151,3.7
37153,9.6
37155,6.3
37157,6.3
37159,5.9
37161,5.5
37163,5.2
37165,10.1
37167,4.1
37169,4.6
37171,5.0
37173,8.3
37175,3.6
37177,5.1
37179,4.2
37181,6.8
37183,4.2
37185,8.0
